Original,Mapped
Хозяйственные услуги,Хозяйственные услуги
Амортизация,Амортизация основных средств
Расходы по аренде автотранспорта,Расходы по аренде автотранспорта
Аренда гаражей и стоянок,Аренда гаражей и стоянок
Расходы по аренде помещений,Расходы по аренде помещений
Расходы по аренде прочего имущества,Расходы по аренде прочего имущества
Аудит,Аудит
Безопасность ИТ,Безопасность ИТ
Водоснабжение и канализация,Водоснабжение и канализация
Вознаграждения по договорам ГПХ,Оплата труда
Вывоз мусора,Вывоз мусора
ГСМ для а/м,ГСМ для а/м
ДМС работников (3% от ФОТ),ДМС работников (3% от ФОТ)
"Услуги доставки, тарнспортировки грузов","Услуги доставки, тарнспортировки грузов"
Интернет и передача данных,Интернет и передача данных
ИТ аутсорсинг,ИТ аутсорсинг
Канцелярские товары,Канцелярские товары
Командировочные,Командировочные
Корпоративные мероприятия,Корпоративные мероприятия
Консультационные услуги (в т.ч. В связи с лицензированием),Консультационные услуги (в т.ч. В связи с лицензированием)
Налог на имущество,Налог на имущество
"Прочие налоги, сборы, пошлины","Прочие налоги, сборы, пошлины"
Расходы на обучение и повышение квалификации,Расходы на обучение
Оплата труда,Оплата труда
Охрана зданий,"Питание, проживание на вахте"
Подбор персонала,Подбор персонала
Подписка и приобретение периодических изданий и книг,Подписка и приобретение периодических изданий и книг
Пожарная безопасность,Пожарная безопасность
"Почтовые услуги, телеграф","Почтовые услуги, телеграф"
Представительские,Представительские
Приобретение ПО и лицензий,Приобретение ПО и лицензий
Приобретение прочего. оборудования (до 100 тыс. руб.),Приобретение прочего. оборудования (до 100 тыс. руб.)
Прочие на содержание автотранспорта,Прочие на содержание автотранспорта
Расходные материалы ИТ,Расходные материалы ИТ
"Реклама, продвижение","Реклама, продвижение"
Ремонт и ТО автотранспорта,Ремонт и ТО автотранспорта
"Ремонт офисной мебели, оборудования общего назначения","Ремонт офисной мебели, оборудования общего назначения"
Ремонт помещений,Ремонт помещений
Техническое обслуживание системы вентиляции и кондиционирования,Техническое обслуживание системы вентиляции и кондиционирования
Сопровождение информационных систем,Сопровождение информационных систем
Специальная оценка условий труда,Специальная оценка условий труда
Страхование автотранспорта,Страхование автотранспорта
Страховые взносы,Страховые взносы
Телефон и телефонные переговоры (в т.ч. сотовая связь),Телефон и телефонные переговоры (в т.ч. сотовая связь)
Тепловая энергия (отопление и горячая вода),Тепловая энергия (отопление и горячая вода)
ТО прочих коммунальных систем,ТО прочих коммунальных систем
"Уборка помещений, клининг","Уборка помещений, клининг"
Уборка территории,Уборка территории
Услуги по обслуживанию и ремонту оборудования ИТ,Услуги по обслуживанию и ремонту оборудования ИТ
Услуги по обслуживанию и ремонту помещений ИТ,Услуги по обслуживанию и ремонту помещений ИТ
Хозяйственные товары,Хозяйственные услуги
Электроэнергия,Электроэнергия
Юридические услуги (в т.ч. нотариальные),Юридические услуги (в т.ч. нотариальные)
Замещение,Замещение
Вахтовые,Вахтовые
