Original,Mapped
Хозяйственные услуги,Прочие расходы
Амортизация,Амортизация основных средств
Расходы по аренде автотранспорта,Прочие расходы
Аренда гаражей и стоянок,Прочие расходы
Расходы по аренде помещений,Прочие расходы
Расходы по аренде прочего имущества,Прочие расходы
Аудит,Прочие расходы
Безопасность ИТ,Прочие расходы
Водоснабжение и канализация,Прочие расходы
Оплата труда,Заработная плата
Вывоз мусора,Прочие расходы
ГСМ для а/м,Прочие расходы
ДМС работников (3% от ФОТ),ДМС работников (3% от ФОТ)
"Услуги доставки, тарнспортировки грузов",Прочие расходы
Интернет и передача данных,Прочие расходы
ИТ аутсорсинг,Прочие расходы
Канцелярские товары,Материальные производственные расходы
Командировочные,Прочие расходы
Корпоративные мероприятия,Прочие расходы
Консультационные услуги (в т.ч. В связи с лицензированием),Прочие расходы
Налог на имущество,Прочие расходы
"Прочие налоги, сборы, пошлины",Прочие расходы
Расходы на обучение,Прочие расходы
"Питание, проживание на вахте",Прочие расходы
Подбор персонала,Прочие расходы
Подписка и приобретение периодических изданий и книг,Прочие расходы
Пожарная безопасность,Прочие расходы
"Почтовые услуги, телеграф",Прочие расходы
Представительские,Прочие расходы
Приобретение ПО и лицензий,Материальные производственные расходы
Приобретение прочего. оборудования (до 100 тыс. руб.),Материальные производственные расходы
Прочие на содержание автотранспорта,Прочие расходы
Расходные материалы ИТ,Материальные производственные расходы
"Реклама, продвижение",Прочие расходы
Ремонт и ТО автотранспорта,Прочие расходы
"Ремонт офисной мебели, оборудования общего назначения",Прочие расходы
Ремонт помещений,Прочие расходы
Техническое обслуживание системы вентиляции и кондиционирования,Прочие расходы
Сопровождение информационных систем,Прочие расходы
Специальная оценка условий труда,Прочие расходы
Страхование автотранспорта,Прочие расходы
Страховые взносы,Заработная плата
Телефон и телефонные переговоры (в т.ч. сотовая связь),Прочие расходы
Тепловая энергия (отопление и горячая вода),Прочие расходы
ТО прочих коммунальных систем,Прочие расходы
"Уборка помещений, клининг",Прочие расходы
Уборка территории,Прочие расходы
Услуги по обслуживанию и ремонту оборудования ИТ,Прочие расходы
Услуги по обслуживанию и ремонту помещений ИТ,Прочие расходы
Электроэнергия,Прочие расходы
Юридические услуги (в т.ч. нотариальные),Прочие расходы
Замещение,Заработная плата
Вахтовые,Заработная плата
