Original,Mapped
Хозяйственные услуги,Хозяйственные услуги
Амортизация,Амортизация основных средств
Расходы по аренде автотранспорта,Расходы по аренде автотранспорта
Аренда гаражей и стоянок,Аренда гаражей и стоянок
Расходы по аренде помещений,Расходы по аренде помещений
Расходы по аренде прочего имущества,Расходы по аренде прочего имущества
"Бланки, карты, журналы медицинские","Бланки, карты, журналы медицинские"
Вакцина,Вакцина
Водоснабжение и канализация,Водоснабжение и канализация
Вывоз мусора,Вывоз мусора
ГСМ для а/м,ГСМ для а/м
Дератизация и дезинсекция,Дератизация и дезинсекция
ДМС работников (3% от ФОТ),ДМС работников (3% от ФОТ)
"Услуги доставки, тарнспортировки грузов","Услуги доставки, тарнспортировки грузов"
Интернет и передача данных,Интернет и передача данных
Канцелярские товары,Канцелярские товары
Командировочные,Командировочные
Компенсация проезда к местам отдыха (льготный проезд),Компенсация проезда к местам отдыха (льготный проезд)
Медикаменты,Медикаменты
Медицинский инструментарий и прочий инвентарь многоразового использования,Медицинский инструментарий и прочий инвентарь многоразового использования
Метрология,Метрология
Моющие и дезинфицирующие средства,Моющие и дезинфицирующие средства
Мягкий инвентарь,Мягкий инвентарь
Расходы на обучение и повышение квалификации,Расходы на обучение
Оплата труда,Оплата труда
Организация питания (в санаторно-профилактических учреждениях),Организация питания (в санаторно-профилактических учреждениях)
"Питание, проживание на вахте","Питание, проживание на вахте"
Охрана зданий,Охрана зданий
Междугородные перевозки сотрудников к месту работы,Междугородные перевозки сотрудников к месту работы
Подбор персонала,Подбор персонала
Пожарная безопасность,Пожарная безопасность
Приобретение мед. оборудования (до 100 тыс. руб.),Приобретение мед. оборудования (до 100 тыс. руб.)
Приобретение оргтехники (до 100 тыс. руб.),Приобретение оргтехники (до 100 тыс. руб.)
Приобретение прочего. оборудования (до 100 тыс. руб.),Приобретение прочего. оборудования (до 100 тыс. руб.)
Прочие на содержание автотранспорта,Прочие на содержание автотранспорта
Расходные материалы,Расходные материалы
Расходные материалы ИТ,Расходные материалы ИТ
"Реклама, продвижение","Реклама, продвижение"
ТО и ремонт медицинского оборудования (материалы),ТО и ремонт медицинского оборудования (материалы)
ТО и ремонт медицинского оборудования (услуги),ТО и ремонт медицинского оборудования (услуги)
Ремонт и ТО автотранспорта,Ремонт и ТО автотранспорта
"Ремонт офисной мебели, оборудования общего назначения","Ремонт офисной мебели, оборудования общего назначения"
Ремонт помещений,Ремонт помещений
Техническое обслуживание системы вентиляции и кондиционирования,Техническое обслуживание системы вентиляции и кондиционирования
Сопровождение информационных систем,Сопровождение информационных систем
Специальная оценка условий труда,Специальная оценка условий труда
"Спец одежда, спец обувь","Спец одежда, спец обувь"
Стирка белья,"Прочие налоги, сборы, пошлины"
Сторонние ЛПУ,Сторонние ЛПУ
Страхование автотранспорта,Страхование автотранспорта
Страховые взносы,Страховые взносы
Телефон и телефонные переговоры (в т.ч. сотовая связь),Телефон и телефонные переговоры (в т.ч. сотовая связь)
Тепловая энергия (отопление и горячая вода),Тепловая энергия (отопление и горячая вода)
ТО прочих коммунальных систем,ТО прочих коммунальных систем
"Уборка помещений, клининг","Уборка помещений, клининг"
Уборка территории,Уборка территории
Услуги по обслуживанию и ремонту оборудования ИТ,Услуги по обслуживанию и ремонту оборудования ИТ
Услуги по обслуживанию и ремонту помещений ИТ,Услуги по обслуживанию и ремонту помещений ИТ
Услуги СЭС,Услуги СЭС
Утилизация медицинских отходов,Утилизация медицинских отходов
Хозяйственные товары,Хозяйственные товары
Электроэнергия,Электроэнергия
Замещение,Замещение
Вахтовые,Вахтовые
